,Family,Protein_Name,Protein_ID,Localization,Topology,TM_Segment_Helix,Hydrophobic_Thickness_or_Depth,Tilt_Angle,deltaGfold,kcal_mol
2,"Protein-tyrosine phosphatase, class 2A/5",Receptor-type tyrosine-protein phosphata...,PTPRD_HUMAN,Plasma memb.,Out,1268-1290 (1262-1300),34.4,10,-23.0,-31.2
3,"Protein-tyrosine phosphatase, class 2A/5",Receptor-type tyrosine-protein phosphata...,PTPRF_HUMAN,Plasma memb.,Out,1262-1284 (1259-1288),34.4,10,-26.9,-34.3
4,"Protein-tyrosine phosphatase, class 2A/5",Receptor-type tyrosine-protein phosphata...,PTPRG_HUMAN,Plasma memb.,Out,736- 761 ( 734- 765),34.4,31,-19.7,-31.2
5,"Protein-tyrosine phosphatase, class 2A/5",Receptor-type tyrosine-protein phosphata...,PTPRS_HUMAN,Plasma memb.,Out,1284-1305 (1280-1309),34.3,10,-22.2,-30.6
6,"Protein-tyrosine phosphatase, class 2A/5",Receptor-type tyrosine-protein phosphata...,PTPRZ_HUMAN,Plasma memb.,Out,1639-1662 (1638-1665),34.4,26,-19.3,-28.7
7,Protein-tyrosine phosphatase H/O,Receptor-type tyrosine-protein phosphata...,PTPRH_HUMAN,Plasma memb.,Out,754- 777 ( 751- 780),34.3,16,-23.0,-31.8
8,Protein-tyrosine phosphatase H/O,Receptor-type tyrosine-protein phosphata...,PTPRO_HUMAN,Plasma memb.,Out,819- 843 ( 818- 847),34.4,26,-22.6,-28.8
10,Receptor tyrosine-protein phosphatase al...,Receptor-type tyrosine-protein phosphata...,PTPRE_HUMAN,Plasma memb.,Out,46- 68 ( 44- 75),34.4,16,-26.5,-37.2
12,"Protein-tyrosine phosphatase, class 7",Receptor-type tyrosine-protein phosphata...,PTPRR_HUMAN,Plasma memb.,Out,228- 250 ( 226- 253),33.4,14,-21.5,-29.6
13,"Protein-tyrosine phosphatase, class 8",Receptor-type tyrosine-protein phosphata...,PTPRN_HUMAN,Plasma memb.,Out,575- 599 ( 572- 604),34.5,20,-17.8,-27.3
15,"Protein-tyrosine phosphatase, class 2B",Receptor-type tyrosine-protein phosphata...,PTPRK_HUMAN,Plasma memb.,Out,754- 775 ( 748- 783),33.1,16,-22.1,-28.5
16,"Protein-tyrosine phosphatase, class 2B",Receptor-type tyrosine-protein phosphata...,PTPRM_HUMAN,Plasma memb.,Out,741- 763 ( 738- 767),34.5,15,-22.5,-29.4
17,"Protein-tyrosine phosphatase, class 2B",Receptor-type tyrosine-protein phosphata...,PTPRT_HUMAN,Plasma memb.,Out,764- 786 ( 762- 791),34.3,14,-21.7,-28.8
19,Receptor tyrosine-protein phosphatase be...,Receptor-type tyrosine-protein phosphata...,PTPRB_HUMAN,Plasma memb.,Out,1623-1643 (1621-1646),33.3,4,-14.7,-23.3
20,Receptor tyrosine-protein phosphatase et...,Receptor-type tyrosine-protein phosphata...,PTPRJ_HUMAN,Plasma memb.,Out,978- 997 ( 977-1000),32.1,2,-12.0,-23.3
21,FcR family,Fc receptor-like protein 1,FCRL1_HUMAN,Plasma memb.,Out,310- 332 ( 308- 337),32.4,21,-6.6,-19.2
22,FcR family,Fc receptor-like protein 2,FCRL2_HUMAN,Plasma memb.,Out,399- 424 ( 390- 428),34.5,25,-12.8,-28.3
25,FcR family,Fc receptor-like protein 5,FCRL5_HUMAN,Plasma memb.,Out,849- 872 ( 847- 878),33.5,23,-11.3,-21.7
26,FcR family,Fc receptor-like protein 6,FCRL6_HUMAN,Plasma memb.,Out,312- 332 ( 311- 333),32.0,16,-15.2,-25.4
27,FcR family,High affinity immunoglobulin alpha and i...,FCAMR_HUMAN,Plasma memb.,Out,453- 473 ( 452- 479),32.1,5,-19.0,-27.7
28,FcR family,High affinity immunoglobulin epsilon rec...,FCERA_HUMAN,Plasma memb.,Out,204- 225 ( 202- 228),34.2,10,-8.9,-24.4
29,FcR family,High affinity immunoglobulin gamma Fc re...,FCGR1_HUMAN,Plasma memb.,Out,290- 316 ( 288- 321),34.5,30,-18.1,-28.8
30,FcR family,High affinity immunoglobulin gamma Fc re...,FCGRB_HUMAN,Plasma memb.,Out,196- 222 ( 194- 227),34.5,30,-18.1,-28.8
31,FcR family,Low affinity immunoglobulin gamma Fc reg...,FCG2A_HUMAN,Plasma memb.,Out,217- 239 ( 215- 244),34.5,15,-19.5,-25.8
33,FcR family,Low affinity immunoglobulin gamma Fc reg...,FCG2C_HUMAN,Plasma memb.,Out,224- 247 ( 221- 250),34.3,21,-16.7,-23.9
36,Type I cytokine receptor family 1,Growth hormone receptor,GHR_HUMAN,Plasma memb.,Out,266- 287 ( 265- 291),34.3,11,-24.0,-35.0
37,Type I cytokine receptor family 1,Prolactin receptor,PRLR_HUMAN,Plasma memb.,Out,236- 257 ( 234- 259),33.4,10,-15.7,-24.4
38,Type I cytokine receptor family 1,Thrombopoietin receptor,TPOR_HUMAN,Plasma memb.,Out,490- 512 ( 486- 514),33.4,28,-16.2,-24.4
39,Type I cytokine receptor family 2,Granulocyte colony-stimulating factor re...,CSF3R_HUMAN,Plasma memb.,Out,626- 647 ( 623- 650),33.2,6,-12.1,-23.5
40,Type I cytokine receptor family 2,Interleukin-12 receptor subunit beta-1,I12R1_HUMAN,Plasma memb.,Out,547- 569 ( 544- 575),33.4,21,-13.5,-25.0
41,Type I cytokine receptor family 2,Interleukin-12 receptor subunit beta-2,I12R2_HUMAN,Plasma memb.,Out,623- 644 ( 620- 645),33.5,17,-11.4,-23.7
42,Type I cytokine receptor family 2,Interleukin-23 receptor,IL23R_HUMAN,Plasma memb.,Out,354- 377 ( 353- 379),34.3,27,-18.4,-25.8
43,Type I cytokine receptor family 2,Interleukin-27 receptor subunit alpha,I27RA_HUMAN,Plasma memb.,Out,515- 536 ( 510- 539),34.3,1,-9.7,-23.4
45,Type I cytokine receptor family 2,Interleukin-6 receptor subunit beta,IL6RB_HUMAN,Plasma memb.,Out,619- 640 ( 618- 644),33.3,16,-13.8,-26.6
46,Type I cytokine receptor family 2,Leptin receptor,LEPR_HUMAN,Plasma memb.,Out,842- 863 ( 838- 868),33.5,4,-10.4,-22.2
47,Type I cytokine receptor family 2,Leukemia inhibitory factor receptor,LIFR_HUMAN,Plasma memb.,Out,834- 856 ( 833- 862),34.0,10,-14.8,-26.3
48,Type I cytokine receptor family 2,Oncostatin-M-specific receptor subunit b...,OSMR_HUMAN,Plasma memb.,Out,740- 761 ( 734- 764),33.3,0,-22.4,-30.5
49,Type I cytokine receptor family 3,Interleukin-11 receptor subunit alpha,I11RA_HUMAN,Plasma memb.,Out,364- 389 ( 361- 395),33.5,34,-15.0,-25.1
50,Type I cytokine receptor family 3,Interleukin-6 receptor subunit alpha,IL6RA_HUMAN,Plasma memb.,Out,364- 387 ( 363- 390),34.5,20,-11.9,-24.3
51,Type I cytokine receptor family 4,Cytokine receptor common subunit beta,IL3RB_HUMAN,Plasma memb.,Out,441- 459 ( 440- 462),33.4,17,-22.3,-30.7
52,Type I cytokine receptor family 4,Interleukin-21 receptor,IL21R_HUMAN,Plasma memb.,Out,237- 256 ( 236- 257),32.4,1,-18.4,-28.6
55,Type I cytokine receptor family 4,Interleukin-7 receptor subunit alpha,IL7RA_HUMAN,Plasma memb.,Out,242- 264 ( 239- 268),34.4,21,-19.0,-27.9
56,Type I cytokine receptor family 4,Interleukin-9 receptor,IL9R_HUMAN,Plasma memb.,Out,274- 292 ( 273- 293),30.4,5,-10.5,-21.0
57,Type I cytokine receptor family 5,Cytokine receptor common subunit gamma,IL2RG_HUMAN,Plasma memb.,Out,256- 282 ( 255- 285),35.2,35,-12.9,-24.6
58,Type I cytokine receptor family 5,Cytokine receptor-like factor 2,CRLF2_HUMAN,Plasma memb.,Out,232- 254 ( 230- 259),33.2,21,-23.0,-30.6
59,Type I cytokine receptor family 5,Granulocyte-macrophage colony-stimulatin...,CSF2R_HUMAN,Plasma memb.,Out,326- 348 ( 324- 349),34.3,16,-13.3,-23.9
61,Type I cytokine receptor family 5,Interleukin-13 receptor subunit alpha-2,I13R2_HUMAN,Plasma memb.,Out,341- 362 ( 334- 365),33.5,5,-19.6,-32.1
62,Type I cytokine receptor family 5,Interleukin-3 receptor subunit alpha,IL3RA_HUMAN,Plasma memb.,Out,304- 327 ( 296- 328),34.5,15,-16.9,-26.3
63,Type I cytokine receptor family 5,Interleukin-5 receptor subunit alpha,IL5RA_HUMAN,Plasma memb.,Out,342- 363 ( 339- 365),33.5,4,-18.1,-26.0
66,Type II cytokine receptor family 1,Interleukin-22 receptor subunit alpha-1,I22R1_HUMAN,Plasma memb.,Out,227- 248 ( 223- 254),33.4,9,-9.6,-24.5
67,Type II cytokine receptor family 2,Interferon alpha/beta receptor 1,INAR1_HUMAN,Plasma memb.,Out,436- 459 ( 433- 461),34.3,20,-13.9,-29.1
68,Type II cytokine receptor family 3,Interferon alpha/beta receptor 2,INAR2_HUMAN,Plasma memb.,Out,243- 267 ( 238- 275),34.1,26,-16.3,-25.3
69,Type II cytokine receptor family 4,Interferon gamma receptor 2,INGR2_HUMAN,Plasma memb.,Out,250- 272 ( 244- 274),34.4,16,-11.8,-23.2
70,Type II cytokine receptor family 4,Interleukin-10 receptor subunit beta,I10R2_HUMAN,Plasma memb.,Out,222- 251 ( 219- 255),34.3,35,-21.9,-32.9
73,Type II cytokine receptor family 6,Interferon lambda receptor 1,INLR1_HUMAN,Plasma memb.,Out,229- 251 ( 227- 253),33.4,14,-18.8,-30.5
74,Interleukin-1 receptor,Interleukin-18 receptor 1,IL18R_HUMAN,Plasma memb.,Out,328- 350 ( 326- 353),34.5,11,-17.4,-28.3
75,Interleukin-1 receptor,Interleukin-18 receptor accessory protei...,I18RA_HUMAN,Plasma memb.,Out,358- 381 ( 355- 385),33.7,30,-13.3,-23.9
